crop,production_tonnes,area_harvested_ha,yield_kg_per_ha,production_share_pct,volatility_score
Wheat,2219608.0,642463.0,3454.8,25.44249387810824,9.806914741996435
Vegetables,1855483.0,82149.0,22586.7,21.268672156720427,7.236959409369898
Fruits and berries,1499323.0,159760.0,9384.8,17.18615009893949,6.403735958241423
Potatoes,1099300.0,56900.0,19319.9,12.600843716640231,7.855248655272449
Barley,1089514.0,346942.0,3140.3,12.488670645948845,9.820144876113064
Maize,318101.0,44515.0,7146.0,3.646266703453993,12.383640753249304
Sugar beet,317044.0,6867.0,46167.2,3.6341507280073557,8.270608250712852
Grapes,197377.0,19098.0,10335.1,2.2624549533878824,11.411392738114012
Cotton,96930.0,47616.0,2035.7,1.111070482537922,8.167663532009948
Sunflower seed,31339.0,13618.0,2301.3,0.3592266362556065,11.593165427184502
